x_mm,y_mm,z_mm
5.4084526690966825,-152.83611148421747,0.0
6.330729914603301,-153.21913358725772,0.0
7.258334035748627,-153.58906877515017,0.0
8.19104790187063,-153.9459251974153,0.0
9.128654691610551,-154.28972077056446,0.0
10.07093834443658,-154.62048298716363,0.0
11.017683997876537,-154.9382486918478,0.0
11.968678408963122,-155.24306382376784,0.0
12.923710361895338,-155.53498311364453,0.0
13.882571056371482,-155.8140697410242,0.0
14.84505447661984,-156.08039497058166,0.0
15.810957723818573,-156.33403776803388,0.0
16.78008133060919,-156.57508440463778,0.0
17.752229543320944,-156.80362804937047,0.0
18.7272105769774,-157.01976835344794,0.0
19.70483684230748,-157.2236110298893,0.0
20.684925145074175,-157.41526743092567,0.0
21.667296858219167,-157.59485412586756,0.0
22.651778067753888,-157.76249248189208,0.0
23.63819969288236,-157.91830824989032,0.0
24.62639758191731,-158.06243115747324,0.0
25.616212584822055,-158.19499451086,0.0
26.607490603779294,-158.31613480724116,0.0
27.60008262309909,-158.4259913589676,0.0
28.593844719877417,-158.52470593071487,0.0
29.58863805681446,-158.61242239056844,0.0
30.58432885861901,-158.6892863757866,0.0
31.580788373436288,-158.7554449738234,0.0
32.577892820710595,-158.81104641902385,0.0
33.57552332684267,-158.8562398052538,0.0
34.57356584998553,-158.89117481458834,0.0
35.57191109525078,-158.91600146205715,0.0
36.570454421553194,-158.93086985633605,0.0
37.56909574126479,-158.93592997617404,0.0
38.56773941368449,-158.93133146231742,0.0
39.56629413356606,-158.91722342589202,0.0
40.56467281555791,-158.8937542747428,0.0
41.56279247565554,-158.86107155478345,0.0
42.56057411042234,-158.8193218044344,0.0
43.557942574705145,-158.7686504215735,0.0
44.55482645842886,-158.70920154246193,0.0
45.551157963100565,-158.64111793208838,0.0
46.54687277850564,-158.56454088537203,0.0
47.54190996006969,-158.47961013865694,0.0
48.536211807294464,-158.38646379093663,0.0
49.529723743686745,-158.28523823424285,0.0
50.52239419819446,-158.1760680926816,0.0
51.51417448908809,-158.05908616951263,0.0
52.505018709723416,-157.93442340182878,0.0
53.49488361692946,-157.80220882227454,0.0
54.48372852197753,-157.66256952733616,0.0
55.47151518430652,-157.51563065172877,0.0
56.458207708097774,-157.36151534843168,0.0
57.44377244179387,-157.2003447739409,0.0
58.428177880612004,-157.0322380783296,0.0
59.411394572087985,-156.85731239972898,0.0
60.39339502468364,-156.67568286285905,0.0
61.37415361944328,-156.48746258126457,0.0
62.3536465247091,-156.29276266292567,0.0
63.33185161386229,-156.09169221893632,0.0
64.3087483860626,-155.88435837496075,0.0
65.28431788994186,-155.6708662851975,0.0
66.25854265020641,-155.45131914859698,0.0
67.23140659708905,-155.22581822709702,0.0
68.20289499859123,-154.99446286565606,0.0
69.17299439544924,-154.7573505138792,0.0
70.14169253875475,-154.5145767490482,0.0
71.10897833015613,-154.26623530037136,0.0
72.07484176454054,-154.0124180742006,0.0
73.03927387510292,-153.75321518000385,0.0
74.00226668170606,-153.48871495683153,0.0
74.9638131365804,-153.21900400182383,0.0
75.92390708251631,-152.94416719643831,0.0
76.88254320241788,-152.6642877360813,0.0
77.83971697655389,-152.3794471585452,0.0
78.79542464057893,-152.08972537303134,0.0
79.74966314546599,-151.79520068934556,0.0
80.70243011925861,-151.4959498471959,0.0
81.65372383057836,-151.19204804552325,0.0
82.60354315381514,-150.88356897180225,0.0
83.55188753593573,-150.5705848312573,0.0
84.49875696484014,-150.25316637594392,0.0
85.44415193920044,-149.93138293365038,0.0
86.38807343973568,-149.6053024365745,0.0
87.33052290182853,-149.27499144975093,0.0
88.27150218946231,-148.94051519918432,0.0
89.21101357039862,-148.60193759966822,0.0
90.14905969254562,-148.25932128226384,0.0
91.08564356147295,-147.91272762141307,0.0
92.02076851900841,-147.56221676167394,0.0
92.95443822287872,-147.20784764405667,0.0
93.88665662734296,-146.84967803194974,0.0
94.81742796477454,-146.48776453662413,0.0
95.74675672814756,-146.12216264230668,0.0
96.67464765438748,-145.75292673081395,0.0
97.60110570854494,-145.38011010574337,0.0
98.52613606875482,-145.00376501621489,0.0
99.44974411194565,-144.62394268016172,0.0
100.37193540026168,-144.2406933071685,0.0
101.29271566816652,-143.8540661208565,0.0
102.21209081015257,-143.46410938083372,0.0
103.13006686926144,-143.07087040411292,0.0
104.04665002583904,-142.67439558623056,0.0
104.9618465871795,-142.27473042178184,0.0
105.87566297755046,-141.8719195245776,0.0
106.7881057287563,-141.4660066473525,0.0
107.69918147118545,-141.05703470103995,0.0
108.60889692532476,-140.64504577363192,0.0
109.51725889375489,-140.23008114870836,0.0
110.42427425360587,-139.8121813236341,0.0
111.32994994941099,-139.39138602734482,0.0
112.23429298633725,-138.96773423771194,0.0
113.13731042377144,-138.5412641984972,0.0
114.0390093692456,-138.11201343590244,0.0
114.93939697268502,-137.68001877472395,0.0
115.8384804209629,-137.24531635411907,0.0
116.73626693274747,-136.80794164299246,0.0
117.63276375362578,-136.36792945501102,0.0
